naics17,naics_bucket,naics_bucket_title
238140,23,ConstructionT
238150,23,ConstructionT
238160,23,ConstructionT
238170,23,ConstructionT
238190,23,ConstructionT
238210,23,ConstructionT
238220,23,ConstructionT
238290,23,ConstructionT
238310,23,ConstructionT
238320,23,ConstructionT
238330,23,ConstructionT
238340,23,ConstructionT
238350,23,ConstructionT
238390,23,ConstructionT
238910,23,ConstructionT
238990,23,ConstructionT
311111,311,Food ManufacturingT 
311119,311,Food ManufacturingT 
311211,311,Food ManufacturingT 
311212,311,Food ManufacturingT 
311213,311,Food ManufacturingT 
311221,311,Food ManufacturingT 
311224,311,Food ManufacturingT 
311225,311,Food ManufacturingT 
311230,311,Food ManufacturingT 
311313,311,Food ManufacturingT 
311314,311,Food ManufacturingT 
311340,311,Food ManufacturingT 
311351,311,Food ManufacturingT 
311352,311,Food ManufacturingT 
311411,311,Food ManufacturingT 
311412,311,Food ManufacturingT 
311421,311,Food ManufacturingT 
311422,311,Food ManufacturingT 
311423,311,Food ManufacturingT 
311511,311,Food ManufacturingT 
311512,311,Food ManufacturingT 
311513,311,Food ManufacturingT 
311514,311,Food ManufacturingT 
311520,311,Food ManufacturingT 
311611,311,Food ManufacturingT 
311612,311,Food ManufacturingT 
311613,311,Food ManufacturingT 
311615,311,Food ManufacturingT 
311710,311,Food ManufacturingT 
311811,311,Food ManufacturingT 
311812,311,Food ManufacturingT 
311813,311,Food ManufacturingT 
311821,311,Food ManufacturingT 
311824,311,Food ManufacturingT 
311830,311,Food ManufacturingT 
311911,311,Food ManufacturingT 
311919,311,Food ManufacturingT 
311920,311,Food ManufacturingT 
311930,311,Food ManufacturingT 
311941,311,Food ManufacturingT 
311942,311,Food ManufacturingT 
311991,311,Food ManufacturingT 
311999,311,Food ManufacturingT 
312111,312,Beverage and Tobacco Product ManufacturingT 
312112,312,Beverage and Tobacco Product ManufacturingT 
312113,312,Beverage and Tobacco Product ManufacturingT 
312120,312,Beverage and Tobacco Product ManufacturingT 
312130,312,Beverage and Tobacco Product ManufacturingT 
312140,312,Beverage and Tobacco Product ManufacturingT 
312230,312,Beverage and Tobacco Product ManufacturingT 
313110,313,Textile MillsT 
313210,313,Textile MillsT 
313220,313,Textile MillsT 
313230,313,Textile MillsT 
313240,313,Textile MillsT 
313310,313,Textile MillsT 
313320,313,Textile MillsT 
314110,314,Textile Product MillsT 
314120,314,Textile Product MillsT 
314910,314,Textile Product MillsT 
314994,314,Textile Product MillsT 
314999,314,Textile Product MillsT 
315110,315,Apparel ManufacturingT 
315190,315,Apparel ManufacturingT 
315210,315,Apparel ManufacturingT 
315220,315,Apparel ManufacturingT 
315240,315,Apparel ManufacturingT 
315280,315,Apparel ManufacturingT 
315990,315,Apparel ManufacturingT 
316110,316,Leather and Allied Product ManufacturingT 
316210,316,Leather and Allied Product ManufacturingT 
316992,316,Leather and Allied Product ManufacturingT 
316998,316,Leather and Allied Product ManufacturingT 
321113,321,Wood Product ManufacturingT 
321114,321,Wood Product ManufacturingT 
321211,321,Wood Product ManufacturingT 
321212,321,Wood Product ManufacturingT 
321213,321,Wood Product ManufacturingT 
321214,321,Wood Product ManufacturingT 
321219,321,Wood Product ManufacturingT 
321911,321,Wood Product ManufacturingT 
321912,321,Wood Product ManufacturingT 
321918,321,Wood Product ManufacturingT 
321920,321,Wood Product ManufacturingT 
321991,321,Wood Product ManufacturingT 
321992,321,Wood Product ManufacturingT 
321999,321,Wood Product ManufacturingT 
322110,322,Paper ManufacturingT 
322121,322,Paper ManufacturingT 
322122,322,Paper ManufacturingT 
322130,322,Paper ManufacturingT 
322211,322,Paper ManufacturingT 
322212,322,Paper ManufacturingT 
322219,322,Paper ManufacturingT 
